Temperature,Energy,Accept,Improve,Elapsed,Remaining
3419.322063989622,1.32779124492e+18,0.0,0.0,   0:02:09,   0:07:47
3387.9735308775903,1.32779124492e+18,0.0,0.0,   0:02:09,   0:07:47
3356.912402844659,1.32779124492e+18,0.0,0.0,   0:02:10,   0:07:47
3326.1360449452263,1.32779124492e+18,0.0,0.0,   0:02:11,   0:07:46
3295.6418463910177,1.32779124492e+18,1.0,0.0,   0:02:11,   0:07:46
3265.427220329603,1.32779124492e+18,0.0,0.0,   0:02:12,   0:07:45
3235.4896036249643,1.32779124492e+18,0.0,0.0,   0:02:13,   0:07:45
3205.826456640054,1.32779124492e+18,0.0,0.0,   0:02:14,   0:07:45
3176.435263021354,1.32779124492e+18,0.0,0.0,   0:02:14,   0:07:45
3147.3135294854183,1.32779124492e+18,0.0,0.0,   0:02:15,   0:07:44
3118.4587856073576,1.32779124492e+18,0.0,0.0,   0:02:15,   0:07:43
3089.8685836112745,1.32779124492e+18,0.0,0.0,   0:02:16,   0:07:42
3061.540498162621,1.32779124492e+18,0.0,0.0,   0:02:16,   0:07:41
3033.472126162442,1.32779124492e+18,0.0,0.0,   0:02:17,   0:07:40
3005.661086543532,1.32779124492e+18,0.0,0.0,   0:02:17,   0:07:40
2978.1050200684363,1.32779124492e+18,1.0,0.0,   0:02:18,   0:07:40
2950.801589129323,1.32779124492e+18,0.0,0.0,   0:02:19,   0:07:39
2923.7484775496773,1.32779124492e+18,0.0,0.0,   0:02:19,   0:07:38
2896.9433903878144,1.32779124492e+18,0.0,0.0,   0:02:20,   0:07:38
2870.384053742207,1.32779124492e+18,0.0,0.0,   0:02:20,   0:07:37
2844.068214558577,1.32779124492e+18,0.0,0.0,   0:02:21,   0:07:36
2817.9936404387754,1.32779124492e+18,0.0,0.0,   0:02:21,   0:07:35
2792.158119451403,1.32779124492e+18,1.0,0.0,   0:02:22,   0:07:35
2766.5594599441642,1.32779124492e+18,0.0,0.0,   0:02:23,   0:07:34
2741.195490357961,1.32779124492e+18,1.0,0.0,   0:02:23,   0:07:34
2716.064059042663,1.32779124492e+18,0.0,0.0,   0:02:24,   0:07:33
2691.163034074586,1.32779124492e+18,0.0,0.0,   0:02:25,   0:07:33
2666.490303075644,1.32779124492e+18,0.0,0.0,   0:02:25,   0:07:32
2642.0437730341455,1.32779124492e+18,0.0,0.0,   0:02:25,   0:07:31
2617.8213701272475,1.32779124492e+18,0.0,0.0,   0:02:26,   0:07:30
2593.821039545031,1.32779124492e+18,0.0,0.0,   0:02:27,   0:07:29
2570.0407453161833,1.32779124492e+18,1.0,0.0,   0:02:27,   0:07:29
2546.4784701352924,1.32779124492e+18,0.0,0.0,   0:02:28,   0:07:28
2523.1322151917107,1.32779124492e+18,0.0,0.0,   0:02:28,   0:07:27
2499.9999999999995,1.32779124492e+18,0.0,0.0,   0:02:29,   0:07:27
2477.079862231918,1.32779124492e+18,0.0,0.0,   0:02:30,   0:07:27
2454.3698575499598,1.32779124492e+18,0.0,0.0,   0:02:30,   0:07:26
2431.8680594424122,1.32779124492e+18,0.0,0.0,   0:02:31,   0:07:25
2409.5725590599254,1.32779124492e+18,0.0,0.0,   0:02:31,   0:07:24
2387.4814650535886,1.32779124492e+18,0.0,0.0,   0:02:32,   0:07:23
2365.592903414482,1.32779124492e+18,0.0,0.0,   0:02:32,   0:07:22
2343.9050173146998,1.32779124492e+18,0.0,0.0,   0:02:33,   0:07:22
2322.415966949841,1.32779124492e+18,0.0,0.0,   0:02:33,   0:07:21
2301.123929382928,1.32779124492e+18,0.0,0.0,   0:02:34,   0:07:21
2280.027098389774,1.32779124492e+18,1.0,0.0,   0:02:35,   0:07:20
2259.1236843057536,1.32779124492e+18,1.0,0.0,   0:02:35,   0:07:20
2238.4119138739834,1.32779124492e+18,0.0,0.0,   0:02:36,   0:07:20
2217.8900300949017,1.32779124492e+18,0.0,0.0,   0:02:37,   0:07:20
2197.55629207721,1.32779124492e+18,0.0,0.0,   0:02:37,   0:07:19
2177.4089748902,1.32779124492e+18,0.0,0.0,   0:02:38,   0:07:19
2157.446369417425,1.32779124492e+18,0.0,0.0,   0:02:39,   0:07:18
2137.6667822117074,1.32779124492e+18,0.0,0.0,   0:02:39,   0:07:18
2118.068535351491,1.32779124492e+18,0.0,0.0,   0:02:40,   0:07:18
2098.6499662984934,1.32779124492e+18,0.0,0.0,   0:02:41,   0:07:17
2079.409427756677,1.32779124492e+18,0.0,0.0,   0:02:42,   0:07:17
2060.3452875325056,1.32779124492e+18,0.0,0.0,   0:02:42,   0:07:16
2041.4559283964804,1.32779124492e+18,1.0,0.0,   0:02:43,   0:07:16
2022.739747945956,1.32779124492e+18,1.0,0.0,   0:02:43,   0:07:15
2004.1951584691967,1.32779124492e+18,1.0,0.0,   0:02:44,   0:07:15
1985.8205868107025,1.32779124492e+18,0.0,0.0,   0:02:45,   0:07:14
1967.6144742377462,1.32779124492e+18,0.0,0.0,   0:02:45,   0:07:13
1949.5752763081462,1.32779124492e+18,0.0,0.0,   0:02:46,   0:07:13
1931.7014627392555,1.32779124492e+18,0.0,0.0,   0:02:47,   0:07:13
1913.9915172781405,1.32779124492e+18,0.0,0.0,   0:02:47,   0:07:12
1896.4439375729587,1.32779124492e+18,0.0,0.0,   0:02:48,   0:07:11
1879.0572350455136,1.32779124492e+18,0.0,0.0,   0:02:48,   0:07:10
1861.8299347649722,1.32779124492e+18,0.0,0.0,   0:02:49,   0:07:10
1844.7605753227524,1.32779124492e+18,0.0,0.0,   0:02:50,   0:07:10
1827.8477087085435,1.32779124492e+18,0.0,0.0,   0:02:50,   0:07:09
1811.0899001874748,1.32779124492e+18,0.0,0.0,   0:02:51,   0:07:08
1794.4857281784034,1.32779124492e+18,0.0,0.0,   0:02:52,   0:07:08
1778.033784133322,1.32779124492e+18,1.0,0.0,   0:02:52,   0:07:08
1761.7326724178672,1.32779124492e+18,0.0,0.0,   0:02:53,   0:07:08
1745.581010192928,1.32779124492e+18,0.0,0.0,   0:02:53,   0:07:07
1729.5774272973404,1.32779124492e+18,0.0,0.0,   0:02:54,   0:07:06
1713.7205661316536,1.32779124492e+18,0.0,0.0,   0:02:55,   0:07:06
1698.009081542961,1.32779124492e+18,0.0,0.0,   0:02:55,   0:07:05
1682.4416407107942,1.32779124492e+18,0.0,0.0,   0:02:56,   0:07:04
1667.016923034055,1.32779124492e+18,0.0,0.0,   0:02:57,   0:07:04
1651.7336200189895,1.32779124492e+18,0.0,0.0,   0:02:57,   0:07:04
1636.5904351681875,1.32779124492e+18,0.0,0.0,   0:02:58,   0:07:03
1621.586083870595,1.32779124492e+18,0.0,0.0,   0:02:59,   0:07:03
1606.7192932925489,1.32779124492e+18,0.0,0.0,   0:03:00,   0:07:03
1591.988802269789,1.32779124492e+18,0.0,0.0,   0:03:00,   0:07:03
1577.3933612004823,1.32779124492e+18,0.0,0.0,   0:03:01,   0:07:02
1562.9317319392142,1.32779124492e+18,1.0,0.0,   0:03:01,   0:07:01
1548.602687691953,1.32779124492e+18,0.0,0.0,   0:03:02,   0:07:01
1534.4050129119853,1.32779124492e+18,0.0,0.0,   0:03:03,   0:07:00
1520.3375031967944,1.32779124492e+18,0.0,0.0,   0:03:03,   0:07:00
1506.3989651858938,1.32779124492e+18,0.0,0.0,   0:03:04,   0:06:59
1492.588216459592,1.32779124492e+18,0.0,0.0,   0:03:04,   0:06:58
1478.9040854386847,1.32779124492e+18,0.0,0.0,   0:03:05,   0:06:58
1465.345411285072,1.32779124492e+18,0.0,0.0,   0:03:06,   0:06:57
1451.9110438032797,1.32779124492e+18,0.0,0.0,   0:03:06,   0:06:56
1438.5998433428915,1.32779124492e+18,0.0,0.0,   0:03:07,   0:06:55
1425.4106807018684,1.32779124492e+18,1.0,0.0,   0:03:07,   0:06:55
1412.3424370307557,1.32779124492e+18,0.0,0.0,   0:03:08,   0:06:54
1399.3940037377752,1.32779124492e+18,0.0,0.0,   0:03:09,   0:06:54
1386.5642823947765,1.32779124492e+18,0.0,0.0,   0:03:09,   0:06:53
1373.8521846440608,1.32779124492e+18,0.0,0.0,   0:03:10,   0:06:53
1361.2566321060528,1.32779124492e+18,0.0,0.0,   0:03:10,   0:06:52
1348.7765562878187,1.32779124492e+18,0.0,0.0,   0:03:11,   0:06:52
1336.4108984924292,1.32779124492e+18,0.0,0.0,   0:03:11,   0:06:51
1324.1586097291445,1.32779124492e+18,0.0,0.0,   0:03:12,   0:06:50
1312.0186506244306,1.32779124492e+18,0.0,0.0,   0:03:13,   0:06:49
1299.9899913337895,1.32779124492e+18,0.0,0.0,   0:03:13,   0:06:49
1288.0716114543907,1.32779124492e+18,1.0,0.0,   0:03:14,   0:06:49
1276.2624999385155,1.32779124492e+18,0.0,0.0,   0:03:15,   0:06:48
1264.5616550077848,1.32779124492e+18,0.0,0.0,   0:03:15,   0:06:47
1252.9680840681801,1.32779124492e+18,0.0,0.0,   0:03:16,   0:06:46
1241.48080362584,1.32779124492e+18,0.0,0.0,   0:03:16,   0:06:45
1230.0988392036268,1.32779124492e+18,0.0,0.0,   0:03:17,   0:06:45
1218.8212252584658,1.32779124492e+18,0.0,0.0,   0:03:18,   0:06:45
1207.6470050994315,1.32779124492e+18,0.0,0.0,   0:03:18,   0:06:44
1196.5752308065955,1.32779124492e+18,0.0,0.0,   0:03:19,   0:06:43
1185.6049631506116,1.32779124492e+18,0.0,0.0,   0:03:19,   0:06:43
1174.735271513038,1.32779124492e+18,0.0,0.0,   0:03:20,   0:06:43
1163.965233807397,1.32779124492e+18,0.0,0.0,   0:03:21,   0:06:42
1153.293936400948,1.32779124492e+18,0.0,0.0,   0:03:21,   0:06:41
1142.720474037187,1.32779124492e+18,0.0,0.0,   0:03:22,   0:06:40
